Date,Subject,Sentiment on/Mention of CAF/Canada?,Key Quote,Outlet,Link
Steve Saideman - Carleton,,,,,
,,,,,
,NATO,No,Focus on other parts of the story...they want something NATO won't do: become a combatant,Twitter,
,Sanctions,No,"doing a radio hit on 
@CFRAOttawa 
in about 30 minutes, talking Ukraine.

90 seconds until 
@CFRAOttawa
.......

I was not expecting so many questions on sanctions and economic impacts....


",CFRA Radio AM580 Ottawa,https://twitter.com/smsaideman/status/1500851041872482304
,Russia in Ukraine,No,"the interesting part about this latest offer by Russia: Russia is currently losing this war. It may win, but its current bargaining position sucks and not getting better. 

Yes, Russia can kill civilians, which is awful, but it is not making much progress on the battlefield",Twitter,
,Russian Society,No,"“Ukraine is going to lose unless something happens in Russian domestic politics,” says 
@smsaideman
, an expert on NATO at Carleton University. “The best way to fuck that up is for us to try to impact Russian domestic politics.”",Vox News,https://www.vox.com/policy-and-politics/22958725/ukraine-russia-us-nato-sanctions-military-aid-protest
,NATO,No,"Security Dilemma 101. 

In respone to: 

Photos of French tanks arriving in Romania. Russia's invasion of Ukraine has moved more armor than ever before to NATO members in the east.",Twitter,https://twitter.com/smsaideman/status/1499372996896739330
,No Fly Zone,No,"For the morning crowd, my YouTube episode with 
@smsaideman
on Ukraine, why there won’t be a NATO-led no-fly zone, and Putin’s irredentism #cdnpoli",Dale Smith (Journalist) Youtube Channel,
,,,,,
Alexander Lanoszka - U. Waterloo,,,,,
,,,,,
,Russia in Ukraine,No,"""It is, in many ways, a more complex effort than the Berlin airlift. West Berlin was a small territory with direct air access. Ukraine is a sprawling country of 44 million."" 

Despite the challenges, the US and NATO were able to send 17k anti-tank weapons",Twitter,
,Russia in Ukraine,No,"UA claims to have destroyed 30 Russian helicopters at the Kherson Air Base last night. Big if true. Satellite imagery reveals that 49 helicopters were there before the alleged attack. 

We're still waiting on any actual evidence of that attack, but Konrad Muzyka is on the case. https://twitter.com/konrad_muzyka/status/1500796501886476290",Twitter,
,Russia in Ukraine,No,"If true, a clause one must use all too often now, these demands actually show that Russia is moderating its aims. 

Such moderation would be consistent with its poorer than expected battlefield performance in Ukraine.",Twitter,
,Russia in Ukraine,No,"Verified thanks to intercepted communications. C3 appears to be a major issue for the Russian armed forces right now.

(in respons to reports of Maj. Gen. Vitally Gerasimov killed",Twitter,
,Russia in Ukraine,No,I thought we stopped seeing Bayraktar videos for OPSEC reasons. Is this new video a leak?,Twitter,
,Sanctions,No,"I used to argue that Russia prepared well for the post-invasion sanctions, but I think it is becoming clear that they did not expect the scale of the sanctions meted out to date or have no idea what they are doing. The Kremlin has chosen to adopt measures that aggravate matters.",,
,No Fly Zone,No,"I have stayed out of the discussion about having a No Fly Zone established over Ukraine. I totally get why people advocate for it, but the military implications of setting one up are so significant as to make it, to put it mildly, cost-prohibitive.",Twitter,https://twitter.com/ALanoszka/status/1499792373769031683
,Russian Society,No,"Even if this is not true, Russia is becoming fully totalitarian before our very eyes. 

Horrifying.",Twitter,https://twitter.com/ALanoszka/status/1499398251744665605
,Russian Military Strategy,No,"Contributed to this 
@AlJazeera
report by 
@topfalk
on Putin's nuclear bluster: 

""It seemed that it was an inevitable tactic played too early.""",Al Jazeera newspaper,https://www.aljazeera.com/news/2022/3/3/how-realistic-is-vladimir-putins-nuclear-threat
,Russian Society,No,"Putin's war is a double catastrophe, for Ukraine and for Russia.

The level of human suffering is obviously not equal across the two societies given the atrocities we see unfold in Ukraine, and Oleg here implies no such false equivalency, but it is still significant in Russia.",twitter,
,,,,,
,,,,,
Justin Massie - UQAM,,,,,
,,,,,
,NATO,Yes (NORAD),"Il faut intervention de l’OTAN ? Vous voulez dire qu’il faut déclarer la guerre à la Russie ? Peut-on d’abord acheter des sous-marins nucléaires, des avions de chasse de 5e génération, joindre le bouclier antimissile et installer des radars et intercepteurs au Canada ?",Twitter,https://twitter.com/justinmassie1/status/1500951810072264706
,Canadian Defence Policy,Yes,"Instead of a shopping list, Canada needs an actual defence strategy. Some real good options discussed here 👇
Retweeting: 
A thesis:

1. The RCN/RCAF are platform dependent, and their major cbt systems have become obsolete due to our institutional, cultural, and political discomfort with large defence procurements; but,

2. The Army is not fit for purpose due to a failure of vision.

1. We are a small army. Currently around ~23,000 regular and 19,000 reserve. The US Army is 485,000 Regular / 336,000 National Guard / 189,500 Army Reserve.

2. The Atlantic Ocean is wide, like, 7600km between the ports of Montreal and Riga......",Twitter,https://twitter.com/MidOfficer/status/1499609817266147330
,Public Oppinion,No,"Absolutely. Otherwise the polling numbers don’t mean anything. 

In reply to:

I think when pollsters test support for military intervention they need to frame the question in terms of potential consequences -- ie. Would you support direct NATO or Canadian military involvement even if that risks creating a wider war?",Twitter,https://twitter.com/justinmassie1/status/1499407769874558977
,Russia in Ukraine,No,Poutine n’a aucune volonté de plier sur ses demandes de capitulation et de démilitarisation. Ce sera un bain de sang ou un coup d’état qui soldera cette guerre.,Twitter,https://twitter.com/justinmassie1/status/1499407546129403904
,Refugee Crisis,No,Le Canada ne lève pas les visas aux Ukrainiens pour éviter que des pro-russes soient accueillis au pays.,Twitter,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Michael Day - Ret' Gen.,,,,,
,,,,,
,No fly zone,No,"I won't tweet anymore wrt a NFZ But I do believe that what is required is a continuous conversation about the evolving situation and should be focussed on a sole question: Under what conditions will NATO et al be forced to engage as a combatant ie declare war on Russia ?

I say this not to push for war (altho we should prep) but rather that the critical issue is to avoid being provoked into doing so at Putin's behest 
Only by knowing what would force us to war will we understand that which won't
Never been a greater need for strategic thinking",Twitter,
,Russian Military,No,"I did not have ""Read about tires used by Russian Military"" in my time allocation for scanning the news this morning. But these are choices you sometimes make.",Twitter,https://twitter.com/DMike_Day/status/1499391085487046656
,,,,,
Marcus Kolga - MLI,,,,,
,,,,,
,Disinfo,No,"Beware of Ottawa based defense columnists who claim to be analyzing the situation in Ukraine. In the past, some have aggressively promoted narratives that align directly with those being used by Putin against Ukraine today.",Twitter,https://twitter.com/kolga/status/1500810643636727809
,Misinfo,No,I’ve had to delete a post about Lithuanian parliament voting to support a “closed sky” over Ukraine. Lithuania’s Seimas is not currently in session.,Twitter,https://twitter.com/kolga/status/1499763631029899274
,Russian influence,N/A,Interview on CTV Morning Live,CTV Morning Live,
,Russian influence,No,"When Putin's Canadian proxies 👆 and propagandists attack critics of the Kremlin to silence them, we tend to circle the wagons - as these prominent activists and MPs demonstrated in 2019 and to whom I am forever grateful. https://macdonaldlaurier.ca/mps-former-diplomats-cabinet-ministers-democracy-activists-others-laud-mlis-work-russian-disinformation/",Twitter,https://twitter.com/kolga/status/1499443868500172803
,Russian influence,No,"Western media should be aware that the Russian International Affairs Council was established by Putin and is in place to advance his interests + propaganda. Interviewing ""experts"" from this group without clearly identifying this affiliation risks legitimizing Kremlin narratives.",Twitter,https://twitter.com/kolga/status/1499357775876472832
,Russia in Ukraine,N/A,"Joining 
@billkelly
momentarily to talk about Putin's barbaric invasion of Ukraine.",Hamilton News AM Radio 900,https://twitter.com/kolga/status/1499383995364257795
,Russian influence,No,"One of Putin's most prominent Canadian supporters is suddenly changing his tune. I wonder if he'll acknowledge that sanctions work...?

The story about of an ex-Canadian diplomat who becomes a chairman of a Russian mining company should be read and studied by all Canadian journalists and elected officials who are concerned about foreign influence in Canada.

(referring to former CA ambassador to Rus Christopher Westdal)",twitter,https://twitter.com/kolga/status/1499436651361226756
,,,,,
Roland Paris - U Ottawa,,,,,
,,,,,
,Yes,No,"I should think so. 

We know the world has been getting more dangerous. Investment in our military (and in the other tools of international policy) is an insurance policy. 

Canada has been coasting for too long.",Twitter,https://twitter.com/rolandparis/status/1500975546221662210
,Russian Society,No,"Putin has been redefining ‘sovereignty’ in dangerous ways
Like fellow populists Donald Trump and Viktor Orbán, Putin is talking about an illiberal vision of a people united by common values, beliefs and history",Washington Post (fully authored oppinion piece),https://www.washingtonpost.com/politics/2022/03/03/putin-sovereignty-ukraine-part-of-russia/
,Russia in Arctic Council,No,"Suspending meetings of the Arctic Council is the right move, not least because Russia happens to be the chair and the next meeting is in Russia. That said, this has been a useful coordination mechanism for the Arctic. There is still a need for it.",twitter,https://twitter.com/rolandparis/status/1499426285461909508
,NATO,No,"NATO and Russia are not fighting each other directly, so there is no ""hot"" war between them. But the risks of a larger conflict are real, and the consequences would be grave.",twitter,https://twitter.com/rolandparis/status/1499421712320020481
,,,,,
Jonathan Paquin - U Laval,,,,,
,,,,,
,Russia in Ukraine,No,"Merci encore une fois à 
@savard_bruno
et à toute son équipe de me permettre d'analyser la guerre en Ukraine aux gens de la capitale.",le tele Journal,
,,,,,
Anessa Kimball - U Laval,,,,,
,,,,,
,Russia in Ukraine,No,"A few of my French language interviews on the Russian invasion are available in English thru other outlets.
https://thecanadian.news/ukraine-little-risk-of-seeing-canadian-soldiers-fight-in-the-short-term/ 
https://turnednews.com/what-if-russia-cut-off-oil-and-gas-supplies-to-europe-war-in-ukraine/
@csi_ulaval

@CdsnRcds

@DSF_Group",various,https://twitter.com/ProfKimball/status/1499545557903323151
,,,,,
Balkan Devlen - MLI,,,,,
,,,,,
