Query,title,link,snippet
Steve Saideman - Carleton,,,
,Max Bergmann and Stephen Saideman on the crisis in Ukraine,https://canada2020.ca/events/ukraine-crisis/,"Max Bergmann and Stephen Saideman on the crisis in Ukraine. 12:00 to 13:00, February 8, 2022. Russia's military build up around Ukraine has captured the ..."
,Canada steps up with a new NATO commitment - Macleans.ca,https://www.macleans.ca/politics/ottawa/canada-steps-up-with-a-new-nato-committment/,"Jul 9, 2016 — Carleton University's Stephen Saideman on how Canada is viewed at the 2016 NATO summit held in Warsaw—and what challenges remain."
,Kiwanis Luncheon - Stephen Saideman on Ukraine Crisis ...,https://www.ottawakiwanis.org/home-page/kiwanis-luncheon-stephen-saideman-on-ukraine-crisis.html,Stephen Saideman holds the Paterson Chair in International Affairs at Carleton University's Norman Paterson School of International Affairs.
,"Stephanie Carvin on Twitter: ""“""The history of war is replete ...",https://twitter.com/StephanieCarvin/status/1506790177364131846?ref_src=twsrc%5Etfw,"Mar 24, 2022 — Did the West get Russia's war machine wrong? | CBC News. Russia's road to victory in Ukraine has been blocked by angry civilians, ..."
,Cabinet weighs how to calibrate Canada's response to Ukraine,https://www.thestar.com/politics/federal/2022/01/26/cabinet-weighs-how-to-calibrate-canadas-response-to-russia-ukraine-tensions.html,"Jan 26, 2022 — Carleton University professor Steve Saideman said in an interview that ... treaty with Ukraine; and, he said, any war with Russia in Ukraine ..."
,"Steve Saideman Interview ""He wants NATO to be a participant ...",https://omny.fm/shows/580-cfra/the-morning-rush-steve-saideman-interview-he-wants,"Mar 16, 2022 — Steve Saideman, Director of the Canadian Defence and Security Network, ... close the sky': says Ukraine President Zelensky in address to ..."
,Canadian kids ask: Is Canada safe from the Russia-Ukraine ...,https://www.cbc.ca/kidsnews/post/canadian-kids-ask-is-canada-safe-from-the-russia-ukraine-war/,"Feb 28, 2022 — CBC Kids News reached out to two experts on the conflict to bring you the answer. They are: Stephen Saideman, a professor at Carleton University ..."
,"Stephen Saideman, Author at Open Canada",https://opencanada.org/author/steve-saideman/,"Stephen Saideman holds the Paterson Chair in International Affairs at Carleton ... to train Ukrainian troops was probably inevitable, argues Steve Saideman."
Alexander Lanoszka - U. Waterloo,,,
,Understanding Russia's Military Buildup on Ukraine's Border,https://cdainstitute.ca/alexander-lanoszka-understanding-russias-military-buildup-on-ukraines-border/,"Alexander Lanoszka is an Assistant Professor of International Relations at the University of Waterloo. He studies alliance politics, theories of war, and ..."
,Alexander Lanoszka (@ALanoszka) / Twitter,https://twitter.com/alanoszka?lang=en,Assistant prof @UWaterloo @BalsillieSIA. Fellow @ConGeostrategy. I write on alliances and European security. My @CornellPress book free at ...
,Alexander Lanoszka | Political Science | University of Waterloo,https://uwaterloo.ca/political-science/people-profiles/alexander-lanoszka,"Alexander Lanoszka is an Assistant Professor of International Relations at the University of Waterloo. He studies alliance politics, theories of war, ..."
,Ukraine's charge d'affaires to Canada | The Current with Matt ...,https://www.cbc.ca/listen/live-radio/1-63-the-current/clip/15896459-international-solidarity-harsh-sanctions-needed-combat-russia-ukraines,"Feb 22, 2022 — International solidarity, 'harsh sanctions' needed to combat Russia: Ukraine's charge d'affaires to Canada. Play Segment 19:34."
